IMU_MODE,IMU_STATUS1,IMU_STATUS2,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,VN,VE,VD,ROLL,PITCH,HEADING,LAT,LON,ALT,IMU_MODE_cnt,IMU_Bit
0,7,-32747,-0.000884752500057221,0.0978973720192909,0.00273551616668701,-1.94739550352097E-06,-1.70362181961536E-06,-7.29691237211227E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000907584500312805,0.0979141951203346,0.00276913057565689,-1.03004276752472E-06,1.7867423593998E-06,-6.00935891270638E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00078433620929718,0.0979183918118477,0.00276948938369751,-1.88034027814865E-06,-3.18186357617378E-06,-2.76602804660797E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000748223769664764,0.097912301158905,0.00277247793674469,-8.28877091407776E-08,2.54623591899872E-06,2.09780409932137E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000881773030757904,0.0979284293532372,0.0027813391327858,2.36555933952332E-07,1.40187330543995E-06,-2.47964635491371E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00081168737411499,0.097925172829628,0.00277504863739014,-1.60280615091324E-06,-2.21747905015945E-06,-2.44472175836563E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000803825390338898,0.0979229972720146,0.00278243372440338,-4.4703483581543E-08,4.18396666646004E-07,-1.00629404187202E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00077739622592926,0.0979003106117249,0.00274101637601852,2.21561640501022E-06,-2.05636024475098E-06,-7.14324414730072E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000869900572299957,0.0978668733358383,0.00275087678432465,8.10250639915466E-08,3.16603109240532E-06,8.14907252788544E-09,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000839497268199921,0.097919836127758,0.00276964380741119,-1.04960054159164E-06,2.86567956209183E-06,9.38074663281441E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00080539687871933,0.0979365184307098,0.00272079595327377,-4.34089452028275E-06,2.63191759586334E-06,1.18114985525608E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000888040816783905,0.0979310454726219,0.00277879114151001,-7.07805156707764E-07,-2.29105353355408E-07,2.83238478004932E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000822415280342102,0.0978647204875946,0.0027441321015358,2.20630317926407E-06,9.90461558103561E-07,-1.83586962521076E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000760582208633423,0.0978992659807205,0.00271906549930573,-2.19512730836868E-06,-5.8184377849102E-07,-4.47873026132584E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000808648860454559,0.0978059713482857,0.00272581018209457,-3.09478491544724E-06,2.71783210337162E-06,2.14437022805214E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000825322079658508,0.0978766156554222,0.00274807444810867,-2.25100666284561E-06,2.45566479861736E-06,1.98720954358578E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000835055315494537,0.0979116607546806,0.00278004924058914,1.60094350576401E-06,-4.19281423091888E-06,1.23004429042339E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000794896066188812,0.0978830015301704,0.0027986754655838,-3.14880162477493E-06,1.19558535516262E-06,-5.34113496541977E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000772640883922577,0.0979434039115906,0.0027595018029213,-1.33179128170013E-06,-1.81212089955807E-06,-4.88944351673126E-09,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000867043733596802,0.0979203947782517,0.00277166494131088,-1.24517828226089E-06,9.76258888840675E-07,5.94649463891983E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000832430112361908,0.0979488541603088,0.00279872088432312,-2.06660479307175E-06,-1.59279443323612E-06,-1.66893005371094E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000829287135601044,0.0979039622783661,0.00279935220479965,3.24100255966187E-07,-1.22189521789551E-06,-1.26007944345474E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000872285056114197,0.0978693395733833,0.00275293425321579,2.33575701713562E-06,2.99187377095222E-07,-3.10130417346954E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000795581889152527,0.0978624904274941,0.00272999324798584,6.66826963424683E-07,4.50131483376026E-06,-6.44940882921219E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000828101706504822,0.0979207535862923,0.00277081561088562,-3.52505594491959E-06,5.95813617110252E-07,1.18720345199108E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000824045813083649,0.0978977535367012,0.00279863913059235,2.13459134101868E-06,-1.05984508991241E-06,5.38770109415054E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
